Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-February-2024,11.98,12.84,11.74,11.79,12.228056028329856154,291424,827,3563549.00,291424,100.00,1.10,-0.19
19-February-2024,11.98,12.36,11.21,12.34,11.946006492205346050,249530,609,2980887.00,249530,100.00,1.15,0.36
12-February-2024,11.80,12.90,11.78,11.78,12.091025901379068436,270835,444,3274673.00,270835,100.00,1.12,-0.02
5-February-2024,12.42,13.69,12.39,12.39,12.743654395696755757,428328,861,5458464.00,428328,100.00,1.30,-0.03
29-January-2024,13.70,13.70,13.01,13.04,13.047139748173480491,257320,602,3357290.00,257320,100.00,0.69,-0.66
23-January-2024,13.69,15.13,13.69,13.69,13.850738261826739375,395185,472,5473604.00,395185,100.00,1.44,0.00
15-January-2024,14.50,14.50,14.41,14.41,14.413766728960694477,265408,427,3825529.00,265408,100.00,0.09,-0.09
8-January-2024,15.16,15.16,15.16,15.16,15.159998421198047548,76007,195,1152266.00,76007,100.00,0.00,0.00
5-January-2024,14.44,14.44,14.44,14.44,14.439975792253521126,36352,144,524922.00,36352,100.00,0.00,0.00
4-January-2024,13.76,13.76,13.76,13.76,13.759975680778215097,31251,164,430013.00,31251,100.00,0.00,0.00
3-January-2024,13.11,13.11,13.11,13.11,13.109986533418385427,70545,237,924844.00,70545,100.00,0.00,0.00
2-January-2024,12.49,12.49,12.49,12.49,12.489997883808646508,80333,174,1003359.00,80333,100.00,0.00,0.00
1-January-2024,11.90,11.90,11.90,11.90,11.899996175761979425,130745,171,1555865.00,130745,100.00,0.00,0.00
26-December-2023,11.60,11.60,11.34,11.34,11.348505060028284003,99703,284,1131480.00,99703,100.00,0.26,-0.26
18-December-2023,12.05,12.49,11.93,11.93,11.962934520905786268,317735,511,3801043.00,317735,100.00,0.56,-0.12
11-December-2023,12.82,12.82,11.80,12.55,12.430888383709554897,356749,786,4434707.00,356749,100.00,1.02,-0.27
4-December-2023,13.08,13.08,11.84,12.21,12.912308469747907960,763848,1115,9863041.00,763848,100.00,1.24,-0.87
28-November-2023,11.33,12.46,11.30,12.46,12.394252096063663492,879625,780,10902294.00,879625,100.00,1.16,1.13
20-November-2023,11.33,11.89,11.33,11.87,11.868462549385133033,1218231,937,14458529.00,1218231,100.00,0.56,0.54
13-November-2023,11.33,11.33,11.33,11.33,11.329992677358680201,69647,138,789100.00,69647,100.00,0.00,0.00
8-November-2023,11.88,11.94,11.55,11.92,11.877568787228913555,1601242,1859,19018862.00,1601242,100.00,0.39,0.04
7-November-2023,11.34,11.38,11.00,11.38,11.322704653767726504,1188263,989,13454351.00,1188263,100.00,0.38,0.04
6-November-2023,10.84,10.84,10.84,10.84,10.840000000000000000,480750,276,5211330.00,480750,100.00,0.00,0.00
3-November-2023,10.28,10.33,10.26,10.33,10.300315557871576631,414504,248,4269522.00,414504,100.00,0.07,0.05
2-November-2023,9.84,9.84,9.84,9.84,9.839996157692807539,176977,158,1741453.00,176977,100.00,0.00,0.00
1-November-2023,9.38,9.38,9.38,9.38,9.379999129785759948,298777,240,2802528.00,298777,100.00,0.00,0.00
30-October-2023,8.71,9.29,8.45,8.94,8.596252881455686889,122334,415,1051614.00,122334,100.00,0.84,0.23
23-October-2023,8.89,9.25,8.89,8.89,8.933384192027899626,110109,256,983646.00,110109,100.00,0.36,0.00
16-October-2023,9.50,9.80,9.35,9.35,9.361278844825203813,289480,502,2709903.00,289480,100.00,0.45,-0.15
9-October-2023,9.84,9.84,9.84,9.84,9.839987004020631117,24623,53,242290.00,24623,100.00,0.00,0.00
3-October-2023,10.35,10.35,10.35,10.35,10.349993458066204370,30572,108,316420.00,30572,100.00,0.00,0.00
25-September-2023,10.89,11.30,10.89,10.89,10.900936359575561942,474604,433,5173628.00,474604,100.00,0.41,0.00
18-September-2023,11.46,11.46,11.46,11.46,11.459972090109076410,35113,69,402394.00,35113,100.00,0.00,0.00
8-September-2023,11.55,12.07,11.55,12.06,11.939627105732151148,719346,1454,8588723.00,719346,100.00,0.52,0.51
7-September-2023,11.70,11.70,10.70,11.50,11.264734450885163716,765960,1882,8628336.00,765960,100.00,1.00,-0.20
6-September-2023,11.19,11.19,11.00,11.19,11.175827141231087976,781910,739,8738491.00,781910,100.00,0.19,0.00
5-September-2023,10.66,10.66,10.66,10.66,10.659999915163289458,235747,297,2513063.00,235747,100.00,0.00,0.00
4-September-2023,10.16,10.16,10.16,10.16,10.159996834811568075,290662,404,2953125.00,290662,100.00,0.00,0.00
1-September-2023,9.68,9.68,9.68,9.68,9.679995158453837993,140451,258,1359565.00,140451,100.00,0.00,0.00
28-August-2023,8.36,9.22,8.36,9.22,9.098906544626508054,403583,637,3672164.00,403583,100.00,0.86,0.86
21-August-2023,8.79,8.79,8.79,8.79,8.789991181657848324,45360,75,398714.00,45360,100.00,0.00,0.00
14-August-2023,9.25,9.25,9.25,9.25,9.249982179770475443,28058,54,259536.00,28058,100.00,0.00,0.00
7-August-2023,9.73,9.98,9.73,9.73,9.730183526967826239,477532,567,4646474.00,477532,100.00,0.25,0.00
31-July-2023,10.24,10.24,10.24,10.24,10.239994548675782492,66039,115,676239.00,66039,100.00,0.00,0.00
24-July-2023,10.77,10.77,10.77,10.77,10.769997562758956860,41030,59,441893.00,41030,100.00,0.00,0.00
17-July-2023,11.33,11.33,11.33,11.33,11.329980090118411401,47715,81,540610.00,47715,100.00,0.00,0.00
7-July-2023,11.92,11.92,11.92,11.92,11.919999925084794648,533937,551,6364529.00,533937,100.00,0.00,0.00
6-July-2023,11.36,11.36,11.36,11.36,11.359998548700179598,275615,388,3130986.00,275615,100.00,0.00,0.00
5-July-2023,10.80,10.82,10.80,10.82,10.812037244491222951,383842,433,4150114.00,383842,100.00,0.02,0.02
4-July-2023,10.30,10.31,10.30,10.31,10.306365532499951782,362939,384,3740582.00,362939,100.00,0.01,0.01
3-July-2023,9.82,9.82,9.75,9.82,9.819690407540872819,1393897,936,13687637.00,1393897,100.00,0.07,0.00
30-June-2023,9.36,9.36,9.14,9.36,9.346786611355899002,403297,509,3769531.00,403297,100.00,0.22,0.00
28-June-2023,8.80,9.00,8.80,8.92,8.927919490202560005,54453,249,486152.00,54453,100.00,0.20,0.12
27-June-2023,8.92,9.00,8.86,8.90,8.938684337887643795,80583,250,720306.00,80583,100.00,0.14,-0.02
26-June-2023,8.85,9.05,8.85,8.92,8.945690836846945326,57633,172,515567.00,57633,100.00,0.20,0.07
23-June-2023,9.00,9.10,8.77,8.84,8.938689685701637892,135540,313,1211550.00,135540,100.00,0.33,-0.16
22-June-2023,8.90,9.05,8.85,8.97,8.950705865392079669,90173,260,807112.00,90173,100.00,0.20,0.07
21-June-2023,9.01,9.20,9.00,9.07,9.104635559289119691,91661,275,834540.00,91661,100.00,0.20,0.06
20-June-2023,9.00,9.30,8.80,9.11,9.103785829786308362,137909,325,1255494.00,137909,100.00,0.50,0.11
19-June-2023,9.00,9.15,8.90,9.02,9.018728465838420518,69947,303,630833.00,69947,100.00,0.25,0.02
16-June-2023,9.01,9.20,9.00,9.03,9.125827548850459414,124615,374,1137215.00,124615,100.00,0.20,0.02
15-June-2023,9.05,9.25,9.00,9.04,9.090735698091479433,83363,250,757831.00,83363,100.00,0.25,-0.01
14-June-2023,8.95,9.21,8.90,9.16,9.021253361201460728,85163,289,768277.00,85163,100.00,0.31,0.21
13-June-2023,9.36,9.49,9.05,9.10,9.215191320334155704,104981,430,967420.00,104981,100.00,0.44,-0.26
12-June-2023,9.28,9.60,9.08,9.36,9.372949086132816848,89838,315,842047.00,89838,100.00,0.52,0.08
9-June-2023,9.15,9.60,9.15,9.27,9.355470876428960261,113894,334,1065532.00,113894,100.00,0.45,0.12
8-June-2023,9.71,9.71,9.25,9.31,9.596310808458244921,396347,534,3803469.00,396347,100.00,0.46,-0.40
7-June-2023,8.88,9.25,8.82,9.25,9.092800446647248747,189859,247,1726350.00,189859,100.00,0.43,0.37
6-June-2023,8.79,8.93,8.78,8.81,8.846264859476589350,67213,267,594584.00,67213,100.00,0.15,0.02
5-June-2023,9.01,9.10,8.75,8.93,8.953454710334484322,57342,255,513409.00,57342,100.00,0.35,-0.08
2-June-2023,9.07,9.10,8.91,9.01,9.024150247179317359,126831,239,1144542.00,126831,100.00,0.19,-0.06
1-June-2023,8.85,9.09,8.71,9.08,8.959506369979518866,115228,372,1032386.00,115228,100.00,0.38,0.23
31-May-2023,8.81,8.95,8.71,8.85,8.838570236861396900,79118,253,699290.00,79118,100.00,0.24,0.04
30-May-2023,8.75,8.90,8.70,8.87,8.823450735621934908,80748,302,712476.00,80748,100.00,0.20,0.12
29-May-2023,8.80,9.09,8.75,8.80,8.892885197347241001,77655,241,690577.00,77655,100.00,0.34,0.00
26-May-2023,8.83,9.05,8.80,8.84,8.883972586269087411,83170,307,738880.00,83170,100.00,0.25,0.01
25-May-2023,8.72,9.10,8.71,8.96,8.919078571987961916,89383,206,797214.00,89383,100.00,0.39,0.24
24-May-2023,9.18,9.30,8.70,8.75,8.876337803821715295,172017,359,1526881.00,172017,100.00,0.60,-0.43
23-May-2023,8.51,9.04,8.40,9.03,8.681605373031890120,122389,278,1062533.00,122389,100.00,0.64,0.52
22-May-2023,8.60,8.81,8.50,8.61,8.625527606175409854,87897,329,758158.00,87897,100.00,0.31,0.01
19-May-2023,8.73,8.97,8.73,8.75,8.812635567751208676,76530,238,674431.00,76530,100.00,0.24,0.02
18-May-2023,8.81,8.94,8.70,8.75,8.834078771695594125,59920,275,529338.00,59920,100.00,0.24,-0.06
17-May-2023,8.90,8.99,8.81,8.82,8.870779532675952872,70786,224,627927.00,70786,100.00,0.18,-0.08
16-May-2023,8.76,9.04,8.76,8.90,8.896491853597284015,64507,277,573886.00,64507,100.00,0.28,0.14
15-May-2023,9.01,9.10,8.87,8.92,8.948112507053966556,67338,345,602548.00,67338,100.00,0.23,-0.09
12-May-2023,9.02,9.20,9.02,9.06,9.083823474552033723,80419,253,730512.00,80419,100.00,0.18,0.04
11-May-2023,9.06,9.22,9.05,9.14,9.115688194964567609,52071,220,474663.00,52071,100.00,0.17,0.08
10-May-2023,9.07,9.25,9.05,9.10,9.154909720753652961,99303,287,909110.00,99303,100.00,0.20,0.03
9-May-2023,9.21,9.40,9.12,9.18,9.239795785808932422,76978,280,711261.00,76978,100.00,0.28,-0.03
8-May-2023,9.33,9.60,9.11,9.36,9.342928904843278703,87193,260,814638.00,87193,100.00,0.49,0.03
